trip_id,vehicle_type,fuel_type,road_type,time_of_day,weather,distance_km,avg_speed_kmph,traffic_level,ac_used,load_kg,engine_cc,tyre_pressure_ok,last_service_days,fuel_price_per_litre,driver_hours_today,idle_time_minutes,harsh_braking_count,rpm_avg,fuel_consumed_litres,trip_cost_inr,carbon_emission_kg,eco_score,trip_grade,fatigue_risk,ev_cost_per_trip,anomaly_flag
1,Car,Diesel,City,Afternoon,Rain,91.74,58.75,3,1,520.93,2500,1,375,100.66,5.6,30.6,9,1661,30.0,3019.8,80.4,28.5,F,55.0,110.09,0
2,SUV,Diesel,City,Night,Clear,95.07,85.22,5,0,177.63,2500,1,237,89.75,7.4,23.7,5,2544,30.0,2692.5,80.4,51.4,D,81.8,114.08,1
3,Truck,Petrol,City,Afternoon,Rain,1.44,74.37,2,1,418.14,1000,1,196,97.0,0.9,3.4,10,884,0.1,9.7,0.231,55.8,C,24.4,1.73,0
4,Bike,CNG,City,Night,Rain,32.39,83.46,1,1,432.91,800,0,38,109.76,0.9,16.3,7,3626,2.313,253.87,4.533,52.4,D,44.3,38.87,0
5,Car,Diesel,Mixed,Afternoon,Clear,83.9,13.17,4,0,265.44,1500,1,150,111.8,1.2,43.7,14,2158,28.181,3150.64,75.525,36.4,F,36.9,100.68,0
6,Car,Petrol,City,Night,Clear,54.11,35.68,1,1,200.38,100,1,222,94.33,3.1,22.6,11,3501,11.309,1066.78,26.124,55.6,C,60.6,64.93,0
7,Car,Diesel,City,Morning,Clear,80.94,35.73,5,1,447.99,2500,0,251,102.78,11.8,18.5,14,1261,27.299,2805.79,73.161,21.8,F,100.0,97.13,0
8,Auto,Petrol,City,Morning,Hot,85.48,65.16,2,1,153.55,2000,0,271,109.19,1.6,40.0,6,2599,7.278,794.68,16.812,36.9,F,28.2,102.58,0
9,Bike,Diesel,Highway,Night,Clear,44.82,47.03,4,1,491.59,2000,0,218,88.5,10.7,29.9,4,2712,1.208,106.91,3.237,35.2,F,100.0,53.78,0
10,Truck,Petrol,City,Afternoon,Clear,36.54,75.64,3,0,249.85,1200,0,243,93.73,1.9,19.2,4,1373,12.807,1200.4,29.584,55.9,C,25.9,43.85,0
11,Car,Diesel,City,Evening,Clear,46.09,41.45,3,0,11.03,2000,1,139,89.01,9.0,26.8,13,1888,8.151,725.52,21.845,56.4,C,89.7,55.31,0
12,SUV,Petrol,City,Evening,Rain,65.63,27.28,4,1,341.56,150,0,12,91.42,7.8,15.2,1,2929,22.644,2070.11,52.308,57.2,C,57.9,78.76,0
13,Auto,Diesel,City,Evening,Rain,37.35,33.31,4,0,116.65,100,0,121,92.8,8.9,36.2,14,2870,2.492,231.26,6.679,38.2,F,88.7,44.82,0
14,Car,Petrol,Mixed,Evening,Hot,77.72,23.87,5,1,279.94,800,0,125,88.8,1.5,32.3,14,1633,24.811,2203.22,57.313,22.7,F,40.9,93.26,0
15,Car,Diesel,City,Night,Hot,90.5,25.22,2,0,485.0,100,0,391,99.82,9.1,9.8,11,1555,30.0,2994.6,80.4,44.7,D,100.0,108.6,0
16,Car,Diesel,Highway,Morning,Clear,28.95,26.86,4,1,114.01,150,1,109,99.14,4.3,13.8,7,997,6.468,641.24,17.334,55.9,C,41.9,34.74,0
17,Car,Petrol,Mixed,Morning,Clear,96.53,9.4,3,1,124.87,150,1,151,95.88,3.4,0.1,6,1395,19.329,1853.26,44.65,61.2,C,36.9,115.84,0
18,Bike,Diesel,Mixed,Evening,Rain,62.65,70.3,2,0,284.31,2000,0,219,96.59,7.7,35.6,0,3045,0.805,77.75,2.157,69.3,C,53.0,75.18,0
19,Bike,Petrol,Mixed,Morning,Hot,87.94,42.77,4,1,285.9,1200,1,292,102.5,1.7,4.1,6,1700,3.339,342.25,7.713,52.2,D,24.0,105.53,0
20,Car,CNG,Mixed,Night,Clear,11.29,9.97,2,0,272.2,1500,1,346,109.73,3.3,25.8,3,2416,0.569,62.44,1.115,66.9,C,50.7,13.55,1
21,Bike,Petrol,City,Evening,Clear,25.9,40.19,5,0,416.7,2500,0,163,114.33,6.9,38.1,5,2155,0.1,11.43,0.231,37.2,F,58.2,31.08,0
22,Car,Diesel,Highway,Night,Hot,32.78,86.77,4,1,161.46,1200,1,72,110.06,9.5,43.5,14,1151,10.906,1200.31,29.228,34.8,F,100.0,39.34,0
23,Car,Diesel,City,Night,Clear,30.98,52.48,4,0,156.32,1000,1,14,98.53,10.5,14.4,10,1294,4.53,446.34,12.14,57.2,C,100.0,37.18,0
24,Car,Petrol,City,Afternoon,Clear,18.01,93.85,2,0,13.42,1000,0,314,111.64,5.4,8.3,9,3108,2.867,320.07,6.623,65.8,C,49.8,21.61,0
25,Bike,Petrol,Mixed,Night,Hot,86.95,54.98,4,1,229.04,100,1,237,110.25,11.7,44.4,14,1319,3.624,399.55,8.371,29.1,F,100.0,104.34,0
26,Truck,Petrol,Highway,Afternoon,Fog,42.44,91.76,2,1,117.46,2000,0,260,112.63,9.4,8.4,6,2050,14.435,1625.81,33.345,55.4,C,77.2,50.93,0
27,Car,Diesel,Highway,Evening,Clear,96.35,25.56,2,0,354.96,150,1,14,89.77,5.1,6.8,13,3374,13.204,1185.32,35.387,63.9,C,64.5,115.62,0
